bundesland,area,population
Schleswig-Holstein,15804.31,2965691
Hamburg,755.09,1910160
Niedersachsen,47709.90,8161981
Bremen,419.61,691703
Nordrhein-Westfalen,34112.65,18190422
Hessen,21115.64,6420729
Rheinland-Pfalz,19857.96,4174311
Baden-Württemberg,35747.85,11339260
Bayern,70541.77,13435062
Saarland,2572.01,994424
Berlin,891.12,3782202
Brandenburg,29654.36,2581667
Mecklenburg-Vorpommern,23294.83,1629464
Sachsen,18449.86,4089467
Sachsen-Anhalt,20554.84,2180448
Thüringen,16202.39,2122335
